Episode_reward,Loss,episode
-1316.7207784603418,5.601108727769719,0
-1561.1082327525894,0.2559697260870598,1
-1225.1362387914464,0.9701451238244772,2
-962.9276900907287,3.3980909659247844,3
-1214.577345721992,5.14273224927485,4
-1075.9600241299902,6.9307111602462825,5
-1091.3170621119343,12.982444301471114,6
-1562.335526760724,15.38736293449998,7
-1166.3256092487693,15.57790129378438,8
-1584.756555849049,17.85907851792872,9
-1170.0829389798078,22.015833762474358,10
-1341.0928334094199,27.846865302100777,11
-1075.724094482236,27.51722160793841,12
-1090.2617825838493,29.92464288573712,13
-1900.7900759560987,30.084536638483407,14
-1152.8742441367217,36.021870195716616,15
-1585.7292272378363,39.317414828017355,16
-1252.9171181794393,39.392172048017386,17
-1635.5934163079005,42.08558956958353,18
-1182.0536132866782,43.47905706204474,19
-1508.035383698294,47.397602434009315,20
-984.3049576161505,48.793208486512306,21
-1054.1671503478058,56.355661029145125,22
-1641.5376816332814,51.5568957644701,23
-1521.760184517276,55.49397162020207,24
-1535.1079131334436,61.653262255638836,25
-1178.7716996644365,50.69354849882424,26
-1875.8876873223894,56.56876966826618,27
-1851.7233422710915,71.1934997473657,28
-1787.5565157952014,69.81580921672284,29
-1053.126024542814,52.55994938384742,30
-1882.0013503809491,80.67525072179734,31
-1076.8734980542488,71.72066764559597,32
-1538.6684880436253,83.76123587798327,33
-1240.6519982067787,84.87148462332785,34
-1247.666375495514,67.39734484478831,35
-1090.4752139108439,68.27874372817575,36
-991.1154220427013,75.70947544902563,37
-1510.2870607063219,58.63453693889082,38
-1073.9463464914986,69.01612807065248,39
-1564.214441698173,61.85051965259016,40
-1920.6856754213013,60.782234955057504,41
-1721.2250121705483,76.56500997368246,42
-1172.6869677457312,73.91186235189438,43
-1628.6319689550057,80.38032076906413,44
-1465.237373758109,64.4365182897076,45
-1385.6493212350222,85.89977131336927,46
-1822.590248985768,74.4118466501683,47
-1526.6883553183468,70.74369882896542,48
-1502.9772892919802,85.22442537121475,49
-1036.3661388698367,73.53820651724935,50
-1285.5501271490848,78.81905117236077,51
-1306.569989327831,69.50472793526947,52
-1182.61764018759,67.3262504260242,53
-1575.0076908240137,66.129725648202,54
-1276.4227238573562,69.4563255956024,55
-1533.8610956386672,59.40943572066724,56
-1041.9700179804777,76.68750758886337,57
-970.3412032049722,61.577315999791026,58
-940.7974675421325,72.73059498041869,59
-1058.7692621394772,67.2799305947125,60
-1823.5638471836025,71.66042810700834,61
-1308.5090664376037,64.30417899392545,62
-1209.998416494417,59.27292842410505,63
-1026.8373939339444,58.61816549479961,64
-1215.6877014958839,57.790234583839776,65
-1072.63246799308,58.04818554833531,66
-1649.9196818140338,62.36243961423636,67
-1817.0200411361943,55.18601590007543,68
-894.8830056762229,62.752445039451125,69
-1394.042033061384,59.27449756741524,70
-1245.5700023108438,70.41420944690704,71
-1243.8530518282244,65.14528189316393,72
-1110.6850172236002,71.45687660135329,73
-1135.7023385943717,63.21209790349007,74
-1135.6373410226042,62.74667802035808,75
-1314.3485286837893,56.20218739964068,76
-954.4461668286458,60.24583395436406,77
-1534.1457868813611,64.7773840803653,78
-1666.0322981125178,51.37929152563214,79
-1307.596936691108,63.002254135981204,80
-1298.0465495491737,62.73136218734086,81
