Episode_reward,Loss,episode
-962.7874029689871,61.16579997293651,82
-1554.8148490368942,59.40294440366328,83
-1135.6750212595177,60.147692694962025,84
-1015.4243807555763,64.26673089206218,85
-1167.4674808313625,62.13235344082117,86
-1001.9501345844175,54.85286935791373,87
-973.3401208022734,50.37937317453325,88
-1452.964106150819,49.639116268083455,89
-895.5095970881883,53.8519530236721,90
-916.48434298919,50.01701206490397,91
-1765.8806171048384,51.42505913093686,92
-1465.7951163871453,52.83919827327132,93
-959.6741139168059,54.75141453936696,94
-963.2993163978838,51.07613600492478,95
-1645.6804863911586,56.734771963953975,96
-1433.2479627053508,55.65422273993492,97
-1699.550587714658,59.13617093831301,98
-1518.2805468679774,47.65178811639547,99
-1102.8947481723965,55.46085145100951,100
-1301.290341966725,59.45805954888463,101
-1694.7594105959529,53.711823445409536,102
-1003.4129812332548,54.13851808987558,103
-1354.5451111573007,54.02687423117459,104
-1013.9137128164577,60.31390472628176,105
-1171.3613978504611,59.91739518627524,106
-1033.437906693786,58.44609874859452,107
-955.2843193248517,57.37888595491648,108
-1060.2763277374038,60.11450583159924,109
-1623.3711391567779,50.49973104566336,110
-1021.5264183512263,54.74723225936294,111
-1418.8752087529444,60.51451765120029,112
-1038.9123607473928,57.62798804968595,113
-1334.432051627923,55.65614783488214,114
-1097.0604488303534,63.50862109094858,115
-1139.2538077893466,62.93330886036158,116
-970.0103391828811,54.47038780674338,117
-1160.6962345663567,54.79961791843176,118
-1051.2787223752096,60.02708520308137,119
-1052.2054914477903,54.47865585744381,120
-1780.2219441552338,60.73044137135148,121
-1021.1948740392855,52.01958304837346,122
-983.1436026891529,57.69087856158614,123
-1067.9875793778106,56.31889647707343,124
-1150.1072593985346,50.33841610357165,125
-1287.087984852364,55.45778136640787,126
-1161.8302699186875,51.601112201735376,127
-963.6823646807555,51.09372866809368,128
-970.2248437686977,55.943638873919845,129
-1556.1395290097776,53.662490185201165,130
-1128.2359399067527,49.295505163818596,131
-1109.9261760287507,47.89146398380399,132
-1092.0470567283878,44.654098887443546,133
-1863.608477819295,45.86416828751564,134
-1311.3576364693708,51.458733277097345,135
-1173.66444421831,57.70876517727971,136
-1175.0719651397978,42.74588169910014,137
-1175.023770882397,52.886297855749724,138
-1346.8824744530723,55.32399629838765,139
-1758.073243489319,58.8943748216331,140
-1037.8865542040533,50.15586710140109,141
-946.5158019840406,54.77451521620154,142
-1440.9658619860388,59.495270994231106,143
-1036.9249196906314,48.164566784128546,144
-1041.167914769776,56.0302534314245,145
-1472.0626400810886,60.806464174985884,146
-1095.041521354203,55.47287482380867,147
-1067.8341747408085,61.38425432264805,148
-1543.1520524387972,63.015933694019914,149
-1019.3542116574394,60.587611706256865,150
-1330.8577782240875,52.5422383210808,151
-1746.3358736533478,60.09821043670178,152
-1756.6723533962631,62.47525484740734,153
-1028.2057316866474,68.344380344674,154
-1165.597519272735,63.02788037613034,155
-1435.2710604013207,52.86432273648679,156
-954.9786803678368,61.865846537426116,157
-1296.298310395166,59.5187501128763,158
-1176.9239737107184,58.2267169842869,159
-1034.8226885715508,56.30438173033297,160
-1175.6568993751087,54.54067374184728,161
-1675.298653023224,42.269480064734815,162
-1307.4450146512438,61.800013601109384,163
-1176.4583920649964,62.27005198381841,164
-1036.5438191388312,59.685906130597,165
-1176.1159658077677,51.94150988973677,166
-1491.2083600838448,54.874375054612756,167
-962.2527410937345,44.29124573238194,168
-1068.7612174671972,55.219833928495646,169
-1383.7590045348115,52.20273213222623,170
-1067.8315767464742,54.30209103472531,171
-1154.9971764473487,42.92181801602244,172
-997.736219655407,56.352738517224786,173
-1172.9373162866161,45.169276588708165,174
-1522.6970389771002,49.00160922348499,175
-1013.9585303978218,51.43965970359743,176
-1274.4091519485578,40.034107456952334,177
-1069.1434308565583,45.341371463090184,178
-1136.437996430274,42.83922212332487,179
-1838.1073089288054,41.21290593534708,180
-1000.8127886513024,43.74575371354818,181
-1748.6788197522415,51.26786181680858,182
-1649.6405555070432,47.245183508396146,183
-1177.770748592686,56.44993763387203,184
-1176.7784492512458,55.91019806519151,185
-1089.9291771380217,46.2039504006505,186
-1179.0304226496667,60.29088799223304,187
-1418.9109180667183,36.7467579421401,188
-961.870637611789,41.233588524013754,189
-1125.4696150151055,48.38417737022042,190
-1061.359493550257,41.56834275729954,191
-1599.0615618284644,57.837159532755614,192
-1306.2569046391493,53.88596267476678,193
-1744.779706007571,53.08848283350468,194
-1170.610233451904,58.373425928801296,195
-1186.6998141603997,57.840153736397625,196
-1307.9316346249886,55.90872771024704,197
-1167.5860498234972,69.72155616149307,198
-1295.5315257286416,53.974313428997995,199
